periodo;nivel_general_aperturas;indice_ipim
2015-12-01;ng_nivel_general;100
2016-01-01;ng_nivel_general;108,787179072642
2016-02-01;ng_nivel_general;114,170884286305
2016-03-01;ng_nivel_general;117,000647955677
2016-04-01;ng_nivel_general;118,812575925872
2016-05-01;ng_nivel_general;123,099353635332
2016-06-01;ng_nivel_general;126,681921953781
2016-07-01;ng_nivel_general;130,208352107735
2016-08-01;ng_nivel_general;130,722590357452
2016-09-01;ng_nivel_general;131,280553423565
2016-10-01;ng_nivel_general;132,059366852626
2016-11-01;ng_nivel_general;133,678918859084
2016-12-01;ng_nivel_general;134,528991476547
2017-01-01;ng_nivel_general;136,545907312244
2017-02-01;ng_nivel_general;138,82611252137
2017-03-01;ng_nivel_general;140,106362847424
2017-04-01;ng_nivel_general;140,75434995069
2017-05-01;ng_nivel_general;141,961228034987
2017-06-01;ng_nivel_general;144,616863549565
2017-07-01;ng_nivel_general;148,311344172517
2017-08-01;ng_nivel_general;151,157292148525
2017-09-01;ng_nivel_general;152,668603023365
2017-10-01;ng_nivel_general;154,910562036985
2017-11-01;ng_nivel_general;157,302869110099
2017-12-01;ng_nivel_general;159,885713536404
2018-01-01;ng_nivel_general;167,19086802591
2018-02-01;ng_nivel_general;175,295471397276
2018-03-01;ng_nivel_general;178,688435281609
2018-04-01;ng_nivel_general;181,892538876928
2018-05-01;ng_nivel_general;195,550410170688
2018-06-01;ng_nivel_general;208,324349586251
2018-07-01;ng_nivel_general;218,180924219558
2018-08-01;ng_nivel_general;228,859169349605
2018-09-01;ng_nivel_general;265,573858961228
2018-10-01;ng_nivel_general;273,605658369032
2018-11-01;ng_nivel_general;273,898929077527
2018-12-01;ng_nivel_general;277,399352946323
2019-01-01;ng_nivel_general;278,978949795967
2019-02-01;ng_nivel_general;288,36347899789
2019-03-01;ng_nivel_general;300,204507975288
2019-04-01;ng_nivel_general;313,961175372611
2019-05-01;ng_nivel_general;329,493455946627
2019-06-01;ng_nivel_general;334,9402343496
2019-07-01;ng_nivel_general;335,198597203813
2019-08-01;ng_nivel_general;372,785790277677
2019-09-01;ng_nivel_general;388,320933734943
2019-10-01;ng_nivel_general;402,345279960599
2019-11-01;ng_nivel_general;424,027900851649
2019-12-01;ng_nivel_general;439,656650804617
2020-01-01;ng_nivel_general;446,276657286322
2020-02-01;ng_nivel_general;451,26123606663
2020-03-01;ng_nivel_general;455,585936207131
2020-04-01;ng_nivel_general;449,684532003591
2020-05-01;ng_nivel_general;451,328693729943
2020-06-01;ng_nivel_general;467,844543694811
2020-07-01;ng_nivel_general;484,367982534019
2020-08-01;ng_nivel_general;504,248204290043
2020-09-01;ng_nivel_general;522,873429854799
2020-10-01;ng_nivel_general;547,26578034078
2020-11-01;ng_nivel_general;570,094415346884
2020-12-01;ng_nivel_general;595,189726457613
2021-01-01;ng_nivel_general;628,266822567963
2021-02-01;ng_nivel_general;666,514917673079
2021-03-01;ng_nivel_general;692,448562309703
2021-04-01;ng_nivel_general;725,450488741101
2021-05-01;ng_nivel_general;748,828003230093
2021-06-01;ng_nivel_general;772,269150039514
2021-07-01;ng_nivel_general;789,539985956218
