periodo;nivel_general_aperturas;indice_ipp
2015-12-01;ng_nivel_general;100
2016-01-01;ng_nivel_general;109,104946207146
2016-02-01;ng_nivel_general;114,574409264805
2016-03-01;ng_nivel_general;117,425532943898
2016-04-01;ng_nivel_general;119,514235208314
2016-05-01;ng_nivel_general;122,673873866834
2016-06-01;ng_nivel_general;127,067502442101
2016-07-01;ng_nivel_general;130,711928652797
2016-08-01;ng_nivel_general;131,0424288204
2016-09-01;ng_nivel_general;130,639330685935
2016-10-01;ng_nivel_general;131,735370313121
2016-11-01;ng_nivel_general;132,915990376402
2016-12-01;ng_nivel_general;134,01174030575
2017-01-01;ng_nivel_general;136,324186783161
2017-02-01;ng_nivel_general;137,903969804213
2017-03-01;ng_nivel_general;138,181159225636
2017-04-01;ng_nivel_general;138,336836366701
2017-05-01;ng_nivel_general;139,838051415637
2017-06-01;ng_nivel_general;142,40049184717
2017-07-01;ng_nivel_general;146,279484260138
2017-08-01;ng_nivel_general;149,169460055066
2017-09-01;ng_nivel_general;150,754700648123
2017-10-01;ng_nivel_general;153,152307165532
2017-11-01;ng_nivel_general;155,262341172239
2017-12-01;ng_nivel_general;158,005549222494
2018-01-01;ng_nivel_general;165,959176974255
2018-02-01;ng_nivel_general;175,23832096362
2018-03-01;ng_nivel_general;179,474091462022
2018-04-01;ng_nivel_general;183,149148821071
2018-05-01;ng_nivel_general;198,488640035665
2018-06-01;ng_nivel_general;210,633849542744
2018-07-01;ng_nivel_general;219,742996838691
2018-08-01;ng_nivel_general;230,60829562587
2018-09-01;ng_nivel_general;268,058089675323
2018-10-01;ng_nivel_general;275,051789628525
2018-11-01;ng_nivel_general;273,31885298587
2018-12-01;ng_nivel_general;277,374820504273
2019-01-01;ng_nivel_general;279,278665488316
2019-02-01;ng_nivel_general;288,326658471613
2019-03-01;ng_nivel_general;299,582560559987
2019-04-01;ng_nivel_general;312,744007352603
2019-05-01;ng_nivel_general;329,239793617441
2019-06-01;ng_nivel_general;335,519677955485
2019-07-01;ng_nivel_general;334,828302010128
2019-08-01;ng_nivel_general;372,675914776805
2019-09-01;ng_nivel_general;389,624563233342
2019-10-01;ng_nivel_general;402,818055641121
2019-11-01;ng_nivel_general;423,70048281577
2019-12-01;ng_nivel_general;438,121575022115
2020-01-01;ng_nivel_general;446,39866077531
2020-02-01;ng_nivel_general;451,388246259724
2020-03-01;ng_nivel_general;452,998147969119
2020-04-01;ng_nivel_general;446,848132145407
2020-05-01;ng_nivel_general;448,220577742885
2020-06-01;ng_nivel_general;465,967754194292
2020-07-01;ng_nivel_general;484,48425135269
2020-08-01;ng_nivel_general;506,175204981282
2020-09-01;ng_nivel_general;528,790603077953
2020-10-01;ng_nivel_general;560,758763805495
2020-11-01;ng_nivel_general;587,636548819577
2020-12-01;ng_nivel_general;614,81637625121
